source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
Arbeitnow,senior-software-developer-nuremberg-102598,https://www.arbeitnow.com/jobs/companies/isento-gmbh/senior-software-developer-nuremberg-102598,2026-07-13,isento GmbH,Senior Software Developer (m/w/d),Senior,Nuremberg,92e8a4e4cb4d620c15a9ab46d04119ecac9bc32e7b5a45ec183a95030f3ce382,0,1,1,0,0,1,1,0,0,1,1,4,3
Jobicy,145788,https://jobicy.com/jobs/145788-staff-software-engineer-full-remote-or-hybrid-m-f-d,2026-07-12,Voyage Privé,Staff Software Engineer - Full Remote or Hybrid (m/f/d),Staff/Principal,France,62e86e0f1bc352836b5aa889b08694b419f4b0804b35c47cad378bf2a3e5359d,0,1,0,1,1,0,0,0,0,1,1,3,3
Jobicy,145861,https://jobicy.com/jobs/145861-senior-full-stack-engineer-5,2026-07-12,infisical,Senior Full Stack Engineer,Senior,"Brazil,  Canada,  France,  UK,  USA",716cc35f72f29bb853cfe9c25d27ab22d5c31bbf3f59b1ef55d2970e847f5c62,1,1,0,0,1,0,0,0,0,1,1,3,3
Jobicy,146058,https://jobicy.com/jobs/146058-senior-software-engineer-game-engine,2026-07-12,Playson,Senior Software Engineer (Game Engine),Senior,Europe,5c365fb806d410c0c36ae1934d162821d58ce4518a9d542c071e5194f4fc6cd4,0,1,0,0,1,1,0,0,0,1,1,3,2
The Muse,21942781,https://www.themuse.com/jobs/bankofamerica/senior-software-engineer-kubernetes-platform-engineering-service-mesh-developer-platforms-golang-apis,2026-07-11,Bank of America,"Senior Software Engineer - Kubernetes Platform Engineering, Service Mesh & Developer Platforms (Golang APIs)",Senior,"Chandler, AZ; Charlotte, NC; Jersey City, NJ",de88f9223682e7cb502cee101bea2e381620dd0fdcd7eae5bcdeec6941279294,1,0,1,1,1,0,1,0,0,1,1,5,5
Himalayas,https://himalayas.app/companies/two-six-technologies/jobs/senior-software-engineer,https://himalayas.app/companies/two-six-technologies/jobs/senior-software-engineer,2026-07-11,Two Six Technologies,Senior Software Engineer,Senior,United States,6452526bd060f30e18feafb727497e2436ac0e9bd6b05c31eb128176519cf186,0,1,0,1,0,0,1,0,0,1,1,3,3
Himalayas,https://himalayas.app/companies/smartasset/jobs/senior-software-engineer,https://himalayas.app/companies/smartasset/jobs/senior-software-engineer,2026-07-11,SmartAsset,Senior Software Engineer,Senior,United States,fe609e083f89bb44802454a0c6c205672edaed19f731eac665fbfc7e5365dfff,1,1,0,1,0,0,1,0,0,1,1,4,4
The Muse,21416958,https://www.themuse.com/jobs/uber/sr-software-engineer-backend-dce0f7,2026-07-11,Uber,Sr Software Engineer - Backend,Senior,"São Paulo, Brazil",7524ca78075a1855968640b41dd1ec8baf7701af233e4700cf132a9fad0aa6bb,1,1,0,1,0,1,0,0,0,1,1,4,3
The Muse,21941087,https://www.themuse.com/jobs/spacex/sr-software-engineer-components,2026-07-10,SpaceX,Sr. Software Engineer (Components),Senior,"El Segundo, CA",a1d2f97f1c10515e1c5e6fed7545995bdd2bc26599c9132f71c395d408c19748,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21941091,https://www.themuse.com/jobs/spacex/sr-full-stack-software-engineer-components,2026-07-10,SpaceX,Sr. Full Stack Software Engineer (Components),Senior,"El Segundo, CA",bcb6d5ff6aaf00e5cb14b3f2a207579ffbe3501604883cc11ed1dfbd12a6b96f,1,0,0,0,0,1,0,0,0,1,0,2,1
